WEEK,DAY,EXERCISE,SETS,REPS,% TM,WEIGHT (kg),ACTUAL REPS,RPE,NOTES
6,C - Deadlift,Barbell Row,3,8,-,80,,,
6,C - Deadlift,Barbell Curl,3,10,-,34,,,
6,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
6,D - Volume,Front Squat,3,5,-,77.5,,,
6,D - Volume,Romanian Deadlift,3,8,57%,107.5,,,
6,D - Volume,Ring Dip,3,AMRAP,,BW,,,
6,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
6,D - Volume,Inverted Row (Rings),3,10,-,BW,,,
6,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
6,D - Volume,Face Pull,3,15,-,12,,,
7,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
7,A - Squat,High Bar Squat,4,3,85%,102.5,,,Heavy triples
7,A - Squat,Bulgarian Split Squat,3,8,-,30,,,Per leg - back-sparing unilateral quad work
7,A - Squat,Pause Squat (2 sec),3,3,72%,87.5,,,"High-bar, knees-forward"
7,A - Squat,Leg Curl,3,10,-,40,,,
7,A - Squat,Leg Extension,3,10,-,75,,,
7,A - Squat,Cable Crunch,3,12,-,36,,,
7,B - Bench,Bench Press,4,3,85%,97.5,,,Heavy triples
7,B - Bench,"Spoto Press (1"" pause)",3,3,72%,82.5,,,
7,B - Bench,Incline DB Press,3,6,-,26,,,
7,B - Bench,Chest Dip,3,AMRAP,-,BW,,,
7,B - Bench,Tricep Extension (Cable),3,10,-,25,,,
7,B - Bench,Cable Woodchop,3,12,-,25,,,Per side
7,B - Bench,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
7,B - Bench,Ab Wheel,3,10,-,BW,,,Controlled reps
7,C - Deadlift,Deadlift,4,3,85%,162.5,,,Heavy triples
7,C - Deadlift,Paused Deadlift (below knee),3,3,70%,132.5,,,New variation
7,C - Deadlift,Pull Up,4,AMRAP,-,BW,,,
7,C - Deadlift,Barbell Row,3,6,-,80,,,
7,C - Deadlift,Barbell Curl,3,8,-,34,,,
7,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
7,D - Volume,Front Squat,3,4,-,80,,,
7,D - Volume,Romanian Deadlift,3,6,60%,115,,,
7,D - Volume,Ring Dip,3,AMRAP,,BW,,,
7,D - Volume,Ring Rollout,3,AMRAP,,BW,,,Extend from rings like ab wheel
7,D - Volume,Inverted Row (Rings),3,8,-,BW,,,
7,D - Volume,Single Arm Landmine Press,3,8-12,-,20,,,Per arm
7,D - Volume,Face Pull,3,12,-,12,,,
8,A - Squat (DELOAD),Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
8,A - Squat (DELOAD),High Bar Squat,3,3,60%,72.5,,,DELOAD - speed work
8,A - Squat (DELOAD),Leg Extension,2,12,-,75,,,Light
8,A - Squat (DELOAD),Cable Crunch,2,10,-,36,,,
8,B - Bench (DELOAD),Bench Press,3,3,60%,70,,,DELOAD - explosive
8,B - Bench (DELOAD),Pec Deck,2,12,-,50,,,Light
8,B - Bench (DELOAD),Tricep Extension,2,12,-,25,,,
8,C - Deadlift (DELOAD),Deadlift,3,3,60%,115,,,DELOAD - snap off floor
8,C - Deadlift (DELOAD),Pull Up,2,Easy,-,BW,,,
8,C - Deadlift (DELOAD),Cable Row,2,12,-,60,,,Light
8,C - Deadlift (DELOAD),Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
9,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
9,A - Squat,High Bar Squat,4,3,87%,105,,,Peaking begins
9,A - Squat,Bulgarian Split Squat,3,8,-,30,,,Per leg - back-sparing unilateral quad work
9,A - Squat,Pause Squat (1 sec),2,2,75%,90,,,"Brief pause only | High-bar, knees-forward"
9,A - Squat,Leg Extension,2,10,-,75,,,Reduced accessories
9,A - Squat,Hanging Leg Raise,2,10,-,BW,,,
9,B - Bench,Bench Press,4,3,87%,100,,,
9,B - Bench,Close Grip Bench,2,4,72%,82.5,,,
9,B - Bench,Chest Dip,2,AMRAP,-,BW,,,
9,B - Bench,Tricep Extension (Cable),2,10,-,25,,,
9,B - Bench,Single Arm Landmine Press,2,8-12,-,20,,,Per arm
9,B - Bench,Ab Wheel,2,10,-,BW,,,Controlled reps
9,C - Deadlift,Deadlift,4,3,87%,165,,,
9,C - Deadlift,Paused Deadlift (below knee),2,2,72%,137.5,,,
9,C - Deadlift,Pull Up,3,AMRAP,-,BW,,,
9,C - Deadlift,Barbell Curl,2,10,-,34,,,
9,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
9,D - Volume,Front Squat,2,4,-,72.5,,,Light technique
9,D - Volume,Incline DB Press,2,8,-,26,,,
9,D - Volume,Inverted Row (Rings),2,10,-,BW,,,
9,D - Volume,Single Arm Landmine Press,2,8-12,-,20,,,Per arm
9,D - Volume,Face Pull,2,15,-,12,,,
10,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
10,A - Squat,High Bar Squat,3,2,90%,107.5,,,Heavy doubles
10,A - Squat,Bulgarian Split Squat,3,8,-,30,,,Per leg - back-sparing unilateral quad work
10,A - Squat,High Bar Squat (backoff),2,4,75%,90,,,
10,A - Squat,Leg Extension,2,10,-,75,,,
10,B - Bench,Bench Press,3,2,90%,102.5,,,Heavy doubles
10,B - Bench,Bench Press (backoff),2,4,75%,85,,,
10,B - Bench,Tricep Extension (Cable),2,10,-,25,,,
10,B - Bench,Ab Wheel,2,10,-,BW,,,Controlled reps
10,C - Deadlift,Deadlift,3,2,90%,170,,,Heavy doubles
10,C - Deadlift,Deadlift (backoff),2,3,75%,142.5,,,
10,C - Deadlift,Pull Up,2,AMRAP,-,BW,,,
10,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
10,D - Volume,Light High Bar Squat,2,5,50%,60,,,Recovery work
10,D - Volume,Light Bench,2,5,50%,57.5,,,
10,D - Volume,Face Pull,2,15,-,12,,,
11,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
11,A - Squat,High Bar Squat,2,1,95%,115,,,Heavy singles - opener practice
11,A - Squat,Bulgarian Split Squat,2,8,-,30,,,Per leg - back-sparing unilateral quad work
11,A - Squat,High Bar Squat (backoff),2,3,80%,95,,,
11,A - Squat,Leg Extension,2,10,-,75,,,
11,B - Bench,Bench Press,2,1,95%,110,,,Heavy singles
11,B - Bench,Bench Press (backoff),2,3,80%,92.5,,,
11,B - Bench,Tricep Extension (Cable),2,10,-,25,,,
11,B - Bench,Ab Wheel,2,10,-,BW,,,Controlled reps
11,C - Deadlift,Deadlift,2,1,95%,180,,,Heavy singles
11,C - Deadlift,Deadlift (backoff),2,3,80%,152.5,,,
11,C - Deadlift,Pull Up,2,Easy,-,BW,,,
11,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
12,A - Squat (DELOAD),Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
12,A - Squat (DELOAD),High Bar Squat,2,2,70%,85,,,DELOAD - stay sharp
12,A - Squat (DELOAD),Light accessories only,-,-,-,Select,,,
12,B - Bench (DELOAD),Bench Press,2,2,70%,80,,,DELOAD
12,B - Bench (DELOAD),Light accessories only,-,-,-,Select,,,
12,C - Deadlift (DELOAD),Deadlift,2,2,70%,132.5,,,DELOAD
12,C - Deadlift (DELOAD),Light accessories only,-,-,-,Select,,,
12,C - Deadlift (DELOAD),Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
13,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
13,A - Squat,High Bar Squat,1,1,100%,120,,,Work up to Training Max
13,A - Squat,Bulgarian Split Squat,2,8,-,30,,,Per leg - back-sparing unilateral quad work
13,A - Squat,High Bar Squat (backoff),2,3,75%,90,,,
13,B - Bench,Bench Press,1,1,100%,115,,,Work up to Training Max
13,B - Bench,Bench Press (backoff),2,3,75%,85,,,
13,C - Deadlift,Deadlift,1,1,100%,190,,,Work up to Training Max
13,C - Deadlift,Deadlift (backoff),2,3,75%,142.5,,,
13,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
14,A - Squat (TEST),Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
14,A - Squat (TEST),High Bar Squat - NEW 1RM,1,1,103%,122.5,,,*** PR ATTEMPT *** Work up in singles
14,A - Squat (TEST),Optional: 2nd attempt,1,1,106%,127.5,,,Only if first felt easy
14,B - Bench (TEST),Bench Press - NEW 1RM,1,1,103%,117.5,,,*** PR ATTEMPT ***
14,B - Bench (TEST),Optional: 2nd attempt,1,1,106%,122.5,,,Only if first felt easy
14,C - Deadlift (TEST),Deadlift - NEW 1RM,1,1,103%,195,,,*** PR ATTEMPT ***
14,C - Deadlift (TEST),Optional: 2nd attempt,1,1,106%,202.5,,,Only if first felt easy
14,C - Deadlift (TEST),Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
15,A - Squat,Single Leg Romanian Deadlift (Dumbbell),2,10,-,12,,,Per leg - hamstring prep
15,A - Squat,Light High Bar Squat,3,5,50%,60,,,Active recovery week
15,A - Squat,Light accessories,-,-,-,Select,,,
15,B - Bench,Light Bench,3,5,50%,57.5,,,
15,B - Bench,Light accessories,-,-,-,Select,,,
15,C - Deadlift,Light Deadlift,3,5,50%,95,,,
15,C - Deadlift,Light accessories,-,-,-,Select,,,
15,C - Deadlift,Back Extension,2,12,-,BW,,,Easy posterior-chain accessory
16,NOTES,UPDATE TRAINING MAXES,-,-,-,Select,,,Add 2.5-5kg to successful lifts
16,NOTES,Begin next 16-week cycle,-,-,-,Select,,,Use new TMs on Setup sheet
